                                                                                                                                                                                4 Oct 2022 19:46:17
Satellite-Geo


Penumbra Start Time (UTCG)     Umbra Start Time (UTCG)     Umbra Stop Time (UTCG)     Penumbra Stop Time (UTCG)    Obstruction    Duration (sec)    Max Percent Shadow    Time of Max Shadow (UTCG)
--------------------------    ------------------------    ------------------------    -------------------------    -----------    --------------    ------------------    -------------------------
  28 Sep 2022 01:55:48.970    28 Sep 2022 01:58:00.005    28 Sep 2022 03:03:36.400     28 Sep 2022 03:05:47.437    Earth                4198.467            100.000000     28 Sep 2022 01:58:00.005
  29 Sep 2022 01:55:52.029    29 Sep 2022 01:58:04.699    29 Sep 2022 03:02:51.397     29 Sep 2022 03:05:04.073    Earth                4152.043            100.000000     29 Sep 2022 01:58:04.699
  30 Sep 2022 01:55:59.807    30 Sep 2022 01:58:14.482    30 Sep 2022 03:02:01.781     30 Sep 2022 03:04:16.458    Earth                4096.651            100.000000     30 Sep 2022 01:58:14.482
   1 Oct 2022 01:56:12.498     1 Oct 2022 01:58:29.578     1 Oct 2022 03:01:07.356      1 Oct 2022 03:03:24.439    Earth                4031.942            100.000000      1 Oct 2022 01:58:29.578
   2 Oct 2022 01:56:30.324     2 Oct 2022 01:58:50.274     2 Oct 2022 03:00:07.873      2 Oct 2022 03:02:27.826    Earth                3957.502            100.000000      2 Oct 2022 01:58:50.274
   3 Oct 2022 01:56:53.560     3 Oct 2022 01:59:16.915     3 Oct 2022 02:59:03.022      3 Oct 2022 03:01:26.383    Earth                3872.823            100.000000      3 Oct 2022 01:59:16.915
   4 Oct 2022 01:57:22.530     4 Oct 2022 01:59:49.933     4 Oct 2022 02:57:52.410      4 Oct 2022 03:00:19.815    Earth                3777.285            100.000000      4 Oct 2022 01:59:49.933
   5 Oct 2022 01:57:57.651     5 Oct 2022 02:00:29.869     5 Oct 2022 02:56:35.528      5 Oct 2022 02:59:07.749    Earth                3670.098            100.000000      5 Oct 2022 02:00:29.869
   6 Oct 2022 01:58:39.426     6 Oct 2022 02:01:17.413     6 Oct 2022 02:55:11.729      6 Oct 2022 02:57:49.721    Earth                3550.295            100.000000      6 Oct 2022 02:01:17.413
   7 Oct 2022 01:59:28.498     7 Oct 2022 02:02:13.464     7 Oct 2022 02:53:40.157      7 Oct 2022 02:56:25.131    Earth                3416.633            100.000000      7 Oct 2022 02:02:13.464
   8 Oct 2022 02:00:25.691     8 Oct 2022 02:03:19.222     8 Oct 2022 02:51:59.666      8 Oct 2022 02:54:53.207    Earth                3267.516            100.000000      8 Oct 2022 02:03:19.222
   9 Oct 2022 02:01:32.081     9 Oct 2022 02:04:36.349     9 Oct 2022 02:50:08.643      9 Oct 2022 02:53:12.918    Earth                3100.837            100.000000      9 Oct 2022 02:04:36.349
  10 Oct 2022 02:02:49.141    10 Oct 2022 02:06:07.247    10 Oct 2022 02:48:04.736     10 Oct 2022 02:51:22.847    Earth                2913.706            100.000000     10 Oct 2022 02:06:07.247
  11 Oct 2022 02:04:18.938    11 Oct 2022 02:07:55.621    11 Oct 2022 02:45:44.278     11 Oct 2022 02:49:20.970    Earth                2702.031            100.000000     11 Oct 2022 02:07:55.621
  12 Oct 2022 02:06:04.567    12 Oct 2022 02:10:07.802    12 Oct 2022 02:43:01.003     12 Oct 2022 02:47:04.244    Earth                2459.677            100.000000     12 Oct 2022 02:10:07.802
  13 Oct 2022 02:08:11.065    13 Oct 2022 02:12:56.439    13 Oct 2022 02:39:42.295     13 Oct 2022 02:44:27.680    Earth                2176.615            100.000000     13 Oct 2022 02:12:56.439
  14 Oct 2022 02:10:47.677    14 Oct 2022 02:16:56.324    14 Oct 2022 02:35:13.411     14 Oct 2022 02:41:22.065    Earth                1834.388            100.000000     14 Oct 2022 02:16:56.324
  15 Oct 2022 02:14:15.748                         N/A                         N/A     15 Oct 2022 02:37:26.092    Earth                1390.345             94.280705     15 Oct 2022 02:25:49.496
  16 Oct 2022 02:20:04.733                         N/A                         N/A     16 Oct 2022 02:31:10.360    Earth                 665.628             14.439682     16 Oct 2022 02:25:36.119
  24 Nov 2022 01:31:01.484                         N/A                         N/A     24 Nov 2022 01:59:49.344    Moon                 1727.860             52.166134     24 Nov 2022 01:45:17.577
  26 Feb 2023 02:47:53.867                         N/A                         N/A     26 Feb 2023 02:58:07.863    Earth                 613.996             10.616702     26 Feb 2023 02:52:59.432
  27 Feb 2023 02:41:23.084                         N/A                         N/A     27 Feb 2023 03:04:18.448    Earth                1375.364             91.399787     27 Feb 2023 02:52:49.331
  28 Feb 2023 02:37:25.407    28 Feb 2023 02:43:39.401    28 Feb 2023 03:01:40.801     28 Feb 2023 03:07:54.790    Earth                1829.384            100.000000     28 Feb 2023 02:43:39.401
   1 Mar 2023 02:34:20.218     1 Mar 2023 02:39:07.953     1 Mar 2023 03:05:49.823      1 Mar 2023 03:10:37.549    Earth                2177.331            100.000000      1 Mar 2023 02:39:07.953
   2 Mar 2023 02:31:44.979     2 Mar 2023 02:35:49.669     2 Mar 2023 03:08:44.613      2 Mar 2023 03:12:49.295    Earth                2464.315            100.000000      2 Mar 2023 02:35:49.669
   3 Mar 2023 02:29:30.100     3 Mar 2023 02:33:07.831     3 Mar 2023 03:11:01.942      3 Mar 2023 03:14:39.667    Earth                2709.567            100.000000      3 Mar 2023 02:33:07.831
